Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity Check,Firefox 68.0,,,2019-08-12 15:06:21,2019-08-12 15:16:01,9m - 40.469s,INCOMPLETE
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/All_Sysadmin_Testcases,Firefox 68.0,,,2019-08-12 15:06:21,2019-08-12 15:08:14,1m - 53.490s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Create Multiple Environments""), [""Develop_env"":findTestData(""Environment Names"").getValue(1, 1), ""Username"":Username_Admin, ""Experience_Env"":findTestData(""Environment Names"").getValue(1, 2), ... ], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-12 15:06:21,2019-08-12 15:07:10,48.699s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-12 15:07:10,2019-08-12 15:07:13,3.001s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Set_NoOfThreads""), [""EnvName"":""QaTest"", ""Username"":""Ere""], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-12 15:07:13,2019-08-12 15:07:17,4.528s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-12 15:07:17,2019-08-12 15:07:17,0.000s,NOT_RUN
"callTestCase(findTestCase(""Sysadmin Portal/Domain/Run_PreProdTest""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-12 15:07:17,2019-08-12 15:07:17,0.000s,NOT_RUN
"delay(3, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-12 15:07:17,2019-08-12 15:07:20,3.005s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Help/Sysadmin_Ask a question_Window""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-12 15:07:20,2019-08-12 15:07:29,8.564s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-12 15:07:29,2019-08-12 15:07:32,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/EmailConnection/Set_Email_Connection""), [:], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-12 15:07:32,2019-08-12 15:07:38,6.275s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-12 15:07:38,2019-08-12 15:07:41,3.001s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/AmazonConnection/Create_Amazon_Connection""), [""variable"":url_sysadmin], CONTINUE_ON_FAILURE)",Firefox 68.0,,,2019-08-12 15:07:41,2019-08-12 15:07:45,3.525s,PASSED
