Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Project_Communications_Testsuite,Chrome 76.0.3809.100,,,2019-08-13 11:01:33,2019-08-13 11:05:17,3m - 44.424s,INCOMPLETE
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/Projects_Communications,Chrome 76.0.3809.100,,,2019-08-13 11:01:33,2019-08-13 11:05:17,3m - 44.218s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Create_Projects""), [:], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:01:33,2019-08-13 11:02:23,50.472s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:02:23,2019-08-13 11:02:25,2.002s,PASSED
"callTestCase(findTestCase(""Communications_Projects/Run_Communications""), [:], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:02:25,2019-08-13 11:04:06,1m - 40.504s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:04:06,2019-08-13 11:04:08,2.004s,PASSED
"callTestCase(findTestCase(""Communications_Projects/PublishProject_NewEnv""), [:], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:04:08,2019-08-13 11:04:40,31.945s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:04:40,2019-08-13 11:04:42,2.003s,PASSED
"callTestCase(findTestCase(""Communications_Projects/VerifyJobs""), [:], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:04:42,2019-08-13 11:04:52,10.215s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:04:52,2019-08-13 11:04:54,2.003s,PASSED
"callTestCase(findTestCase(""Main Login Page/switch_Environments_Experience""), [:], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:04:54,2019-08-13 11:04:54,0.364s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:04:54,2019-08-13 11:04:57,2.004s,PASSED
"callTestCase(findTestCase(""Communications_Projects/VerifyJobs""), [:], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:04:57,2019-08-13 11:05:07,10.174s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:05:07,2019-08-13 11:05:09,2.001s,PASSED
"callTestCase(findTestCase(""Communications_Projects/VerifyJobs - 2nd Workspace""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-13 11:05:09,2019-08-13 11:05:17,8.296s,PASSED
windowsCommands.taskKill.kill_service(),Chrome 76.0.3809.100,,,2019-08-13 11:05:17,2019-08-13 11:05:17,0.025s,PASSED
