Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sysadmin - Testsuite,Chrome 76.0.3809.100,,,2019-08-14 15:00:39,2019-08-14 15:02:52,2m - 12.799s,INCOMPLETE
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/Sysadmin - Testcases,Chrome 76.0.3809.100,,,2019-08-14 15:00:39,2019-08-14 15:02:52,2m - 12.414s,FAILED
"callTestCase(findTestCase(""Sysadmin Portal/Create Multiple Environments""), [""Develop_env"":findTestData(""Environment Names"").getValue(1, 1), ""Username"":Username_Admin, ""Experience_Env"":findTestData(""Environment Names"").getValue(1, 2), ... ], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:00:40,2019-08-14 15:01:37,57.069s,FAILED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:01:37,2019-08-14 15:01:40,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Set_NoOfThreads""), [""EnvName"":""QaTest"", ""Username"":""Ere""], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:01:40,2019-08-14 15:01:46,6.237s,FAILED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:01:46,2019-08-14 15:01:46,0.000s,NOT_RUN
"callTestCase(findTestCase(""Sysadmin Portal/Domain/Run_PreProdTest""), [:], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:01:46,2019-08-14 15:01:46,0.001s,NOT_RUN
"delay(3, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:01:46,2019-08-14 15:01:49,3.006s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Help/Sysadmin_Ask a question_Window""), [:], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:01:49,2019-08-14 15:02:00,11.163s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:02:00,2019-08-14 15:02:03,3.005s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/EmailConnection/Set_Email_Connection""), [:], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:02:03,2019-08-14 15:02:12,8.607s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:02:12,2019-08-14 15:02:15,3.006s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/AmazonConnection/Create_Amazon_Connection""), [""variable"":url_sysadmin], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:02:15,2019-08-14 15:02:20,4.953s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:02:20,2019-08-14 15:02:23,3.004s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Edit Account/Edit Account""), [:], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:02:23,2019-08-14 15:02:32,9.653s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:02:32,2019-08-14 15:02:35,3.006s,PASSED
"callTestCase(findTestCase(""Sysadmin Login Page/Reset password""), [:], CONTINUE_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-14 15:02:35,2019-08-14 15:02:51,16.205s,PASSED
windowsCommands.taskKill.kill_service(),Chrome 76.0.3809.100,,,2019-08-14 15:02:51,2019-08-14 15:02:52,0.026s,PASSED
