Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity1,Chrome 75.0.3770.142,,,2019-07-30 12:55:51,2019-07-30 13:04:30,8m - 39.136s,INCOMPLETE
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/All_Sysadmin_Testcases,Chrome 75.0.3770.142,,,2019-07-30 12:55:51,2019-07-30 12:58:47,2m - 56.541s,FAILED
"callTestCase(findTestCase(""Sysadmin Portal/Create Multiple Environments""), [""Develop_env"":findTestData(""Environment Names"").getValue(1, 1), ""Username"":Username_Admin, ""Experience_Env"":findTestData(""Environment Names"").getValue(1, 2), ... ], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:55:51,2019-07-30 12:56:30,39.331s,FAILED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:56:30,2019-07-30 12:56:33,3.006s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Set_NoOfThreads""), [""EnvName"":""QaTest"", ""Username"":""Ere""], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:56:33,2019-07-30 12:56:37,3.655s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:56:37,2019-07-30 12:56:40,3.003s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/Run_PreProdTest""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:56:40,2019-07-30 12:57:46,1m - 5.801s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:57:46,2019-07-30 12:57:49,3.004s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Help/Sysadmin_Ask a question_Window""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:57:49,2019-07-30 12:57:58,8.608s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:57:58,2019-07-30 12:58:01,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/EmailConnection/Set_Email_Connection""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:58:01,2019-07-30 12:58:06,4.953s,PASSED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:58:06,2019-07-30 12:58:09,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Domain/AmazonConnection/Create_Amazon_Connection""), [""variable"":url_sysadmin], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:58:09,2019-07-30 12:58:15,6.287s,FAILED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:58:15,2019-07-30 12:58:18,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Portal/Edit Account/Edit Account""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:58:18,2019-07-30 12:58:32,13.779s,FAILED
"delay(3, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:58:32,2019-07-30 12:58:35,3.002s,PASSED
"callTestCase(findTestCase(""Sysadmin Login Page/Reset password""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:58:35,2019-07-30 12:58:47,12.843s,PASSED
,,,,,,,
Test Cases/TESTCASE COLLECTIONS/Create_Email_Channel_Contact_NonAdminUser_Group,Chrome 75.0.3770.142,,,2019-07-30 12:58:47,2019-07-30 13:00:56,2m - 8.152s,FAILED
"callTestCase(findTestCase(""Admin/Admin_Settings""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:58:48,2019-07-30 12:59:40,52.655s,FAILED
delay(2),Chrome 75.0.3770.142,,,2019-07-30 12:59:40,2019-07-30 12:59:42,2.002s,PASSED
"callTestCase(findTestCase(""Admin/ES_LIcensesTests""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 12:59:42,2019-07-30 13:00:24,41.394s,PASSED
"delay(2, CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 13:00:24,2019-07-30 13:00:26,2.001s,PASSED
"callTestCase(findTestCase(""Contacts/Create_Contact""), [:], CONTINUE_ON_FAILURE)",Chrome 75.0.3770.142,,,2019-07-30 13:00:26,2019-07-30 13:00:32,6.651s,PASSED
